"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Cobb","3960","1","55"
"05-09 years","Cobb","6520","0","37"
"10-17 years","Cobb","14638","0","93"
"18-29 years","Cobb","34254","16","377"
"30-39 years","Cobb","27407","41","436"
"40-49 years","Cobb","25034","76","614"
"50-59 years","Cobb","21552","164","875"
"60-69 years","Cobb","13772","307","905"
"70-79 years","Cobb","7281","487","874"
"80 & Older years","Cobb","3841","668","838"
"<1 years","Cobb","1208","0","40"
"Unknown years","Cobb","75","0","0"
"01-04 years","Coffee","205","0","4"
"05-09 years","Coffee","345","0","7"
"10-17 years","Coffee","762","0","9"
"18-29 years","Coffee","1744","1","45"
"30-39 years","Coffee","1394","7","82"
"40-49 years","Coffee","1285","16","162"
"50-59 years","Coffee","1152","26","237"
"60-69 years","Coffee","870","60","235"
"70-79 years","Coffee","479","67","205"
"80 & Older years","Coffee","252","56","131"
"<1 years","Coffee","85","0","9"
"01-04 years","Colquitt","169","0","1"
"05-09 years","Colquitt","345","0","2"
"10-17 years","Colquitt","993","0","12"
"18-29 years","Colquitt","1699","1","39"
"30-39 years","Colquitt","1291","3","38"
"40-49 years","Colquitt","1221","11","53"
"50-59 years","Colquitt","1147","31","62"
"60-69 years","Colquitt","890","41","82"
"70-79 years","Colquitt","585","39","82"
"80 & Older years","Colquitt","327","55","57"
"<1 years","Colquitt","89","0","3"
"01-04 years","Columbia","478","1","7"
"05-09 years","Columbia","917","1","9"
"10-17 years","Columbia","2353","0","16"
"18-29 years","Columbia","4491","2","54"
"30-39 years","Columbia","4424","10","69"
"40-49 years","Columbia","3705","17","88"
"50-59 years","Columbia","2945","40","143"
"60-69 years","Columbia","1970","59","161"
"70-79 years","Columbia","1023","84","201"
"80 & Older years","Columbia","572","116","180"
"<1 years","Columbia","171","1","13"
"Unknown years","Columbia","3","0","0"
"01-04 years","Cook","62","0","3"
"05-09 years","Cook","83","0","0"
"10-17 years","Cook","206","0","2"
"18-29 years","Cook","412","0","10"
"30-39 years","Cook","340","0","5"
"40-49 years","Cook","315","3","20"
"50-59 years","Cook","287","7","24"
"60-69 years","Cook","215","13","28"
"70-79 years","Cook","147","15","34"
"80 & Older years","Cook","93","20","18"
"<1 years","Cook","37","0","3"
"01-04 years","Coweta","560","0","7"
"05-09 years","Coweta","927","0","9"
"10-17 years","Coweta","2368","0","27"
"18-29 years","Coweta","4533","5","139"
"30-39 years","Coweta","3841","16","190"
"40-49 years","Coweta","3853","33","228"
"50-59 years","Coweta","4117","62","335"
"60-69 years","Coweta","2521","76","317"
"70-79 years","Coweta","1506","122","343"
"80 & Older years","Coweta","678","127","223"
"<1 years","Coweta","176","0","13"
"Unknown years","Coweta","13","0","5"
"01-04 years","Crawford","15","0","0"
"05-09 years","Crawford","22","0","0"
"10-17 years","Crawford","80","0","2"
"18-29 years","Crawford","212","0","4"
"30-39 years","Crawford","200","1","11"
"40-49 years","Crawford","180","3","10"
"50-59 years","Crawford","242","13","27"
"60-69 years","Crawford","212","13","28"
"70-79 years","Crawford","119","14","25"
"80 & Older years","Crawford","55","6","20"
"<1 years","Crawford","5","0","0"
"01-04 years","Crisp","53","0","0"
"05-09 years","Crisp","97","0","0"
"10-17 years","Crisp","280","0","3"
"18-29 years","Crisp","473","2","16"
"30-39 years","Crisp","442","2","20"
"40-49 years","Crisp","377","4","25"
"50-59 years","Crisp","355","5","33"
"60-69 years","Crisp","311","22","54"
