date,wrf,influent_flow_mg,influent_tss_mg_l
4/11/2022,CC,2.18,208
4/13/2022,NO ,5.96,278
4/13/2022,MI,4.18,1087
4/13/2022,CC,1.95,76
4/18/2022,NO ,5.55,140
4/18/2022,MI,4.04,272
4/18/2022,CC,1.87,284
4/20/2022,NO ,5.85,170
4/20/2022,MI,3.88,204
4/20/2022,CC,1.82,276
4/25/2022,NO ,5.57,196
4/25/2022,MI,3.81,128
4/25/2022,CC,1.81,176
4/27/2022,NO ,6.81,282
4/27/2022,MI,3.8,80
4/27/2022,CC,1.7,140
5/2/2022,NO ,5.52,204
5/2/2022,MI,3.7,164
5/2/2022,CC,1.69,252
5/9/2022,NO ,4.84,158
5/9/2022,MI,4.73,124
5/9/2022,CC,1.55,92
5/11/2022,NO ,5.55,264
5/11/2022,MI,3.73,100
5/11/2022,CC,1.5,192
5/16/2022,NO ,4.77,574
5/16/2022,MI,3.64,148
5/16/2022,CC,1.53,190
5/18/2022,NO ,4.88,278
5/18/2022,MI,3.43,212
5/18/2022,CC,1.45,192
5/23/2022,NO ,5.13,290
5/23/2022,MI,3.95,112
5/23/2022,CC,1.51,132
5/25/2022,NO ,5.18,256
5/25/2022,MI,3.49,46
5/25/2022,CC,1.46,840
5/31/2022,NO ,4.95,944
5/31/2022,MI,3.65,152
5/31/2022,CC,1.5,345
6/1/2022,NO ,5.13,344
6/1/2022,MI,3.38,200
6/1/2022,CC,1.48,712
6/6/2022,NO ,4.62,276
6/6/2022,MI,3.42,216
6/6/2022,CC,1.47,228
6/8/2022,NO ,5.29,178
6/8/2022,MI,1.48,86
6/8/2022,CC,3.53,272
6/13/2022,NO ,4.47,374
6/13/2022,MI,3.29,168
6/13/2022,CC,1.39,236
6/15/2022,NO ,5.52,294
6/15/2022,MI,3.3,220
6/15/2022,CC,1.39,184
6/20/2022,NO ,4.58,116
6/20/2022,MI,3.16,148
6/20/2022,CC,1.37,176
6/22/2022,NO ,5.29,154
6/22/2022,MI,3.21,164
6/22/2022,CC,1.28,368
6/27/2022,NO ,4.99,462
6/27/2022,MI,3.52,84
6/27/2022,CC,1.33,238
6/29/2022,NO ,5.21,146
